OAT	PEA	QUADRAT	SOIL
"90,112,37"	"175,195,108"		
"104,126,51"	"176,196,111"		
"116,140,64"	"175,195,110"		
"166,183,112"	"154,178,54"		
"162,179,108"	"161,185,61"		
"172,190,116"	"166,190,66"		
"162,157,93"	"184,208,114"		
"162,159,92"	"184,208,114"		
"166,163,96"	"184,208,114"		
"136,143,63"	"129,157,57"		
"134,141,61"	"129,157,55"		
"130,137,57"	"131,159,57"		
"183,166,114"	"145,175,75"		
"182,165,111"	"142,172,72"		
"177,160,106"	"140,170,70"		
"118,128,32"	"220,234,146"		
"116,126,30"	"220,234,146"		
"114,124,28"	"221,235,147"		
"175,182,78"	"133,156,76"		
"175,184,79"	"128,151,71"		
"177,186,79"	"140,163,83"		
"135,147,49"	"114,146,71"		
"141,153,55"	"114,146,71"		
"141,153,55"	"115,145,71"		
"169,153,101"	"114,135,56"		
"171,155,103"	"113,134,55"		
"167,154,101"	"115,136,57"		
"172,193,116"	"225,213,161"		
"171,192,115"	"220,210,157"		
"171,192,113"	"216,209,155"		
"140,163,85"	"158,184,74"		
"137,160,82"	"160,186,76"		
"136,161,80"	"161,188,75"		
"127,151,75"	"218,234,145"		
"127,151,75"	"219,235,146"		
"123,147,71"	"220,236,148"		
"167,176,71"	"230,240,154"		
"164,173,68"	"227,237,151"		
"166,174,71"	"218,228,142"		
"154,178,100"	"199,224,133"		
"153,180,101"	"187,212,121"		
"155,182,103"	"155,180,89"		
"144,159,76"	"183,198,105"		
"139,154,71"	"153,168,75"		
"134,149,66"	"155,170,77"		
"118,128,41"	"99,126,45"		
"118,128,41"	"96,121,40"		
"117,127,40"	"89,114,33"		
"129,122,54"	"144,158,61"		
"127,120,52"	"145,159,62"		
"123,116,48"	"145,159,62"		
"126,139,69"	"115,142,61"		
"122,135,65"	"115,142,61"		
"123,136,66"	"115,142,61"		
"163,169,97"	"123,151,51"		
"164,170,98"	"128,156,56"		
"167,173,101"	"138,165,68"		
"173,187,108"	"164,189,98"		
"172,186,107"	"162,187,96"		
"169,183,104"	"160,185,94"		
"239,217,176"	"133,158,74"		
"242,220,181"	"131,156,72"		
"244,222,183"	"131,156,72"		
"194,153,99"	"113,125,23"		
"185,144,90"	"117,132,29"		
"178,137,83"	"151,166,65"		
"160,173,103"	"168,181,109"		
"162,175,105"	"164,177,105"		
"159,172,102"	"169,183,108"		
"160,175,94"	"252,255,175"		
"161,174,94"	"246,255,171"		
"155,168,88"	"241,254,166"		
"165,160,68"	"170,194,120"		
"169,164,72"	"165,189,115"		
"174,169,78"	"131,155,81"		
"123,141,59"			
"123,141,59"			
"122,140,58"			
"163,178,75"			
"163,178,73"			
"162,177,72"			
"168,180,118"			
"169,179,118"			
"191,199,140"			
"168,180,118"			
"169,179,118"			
"191,199,140"			
"168,180,118"			
"169,179,118"			
"191,199,140"			
"203,171,132"			
"199,167,128"			
"182,150,111"			
"133,121,73"			
"120,107,62"			
"162,149,104"			
"144,151,83"			
"142,149,81"			
"140,147,79"			
"161,163,98"			
"155,157,92"			
"149,151,86"			
"183,171,121"			
"189,177,127"			
"200,186,137"			
"131,97,62"			
"182,148,113"			
"184,150,115"			
"208,185,143"			
"197,174,132"			
"173,150,108"			
"165,178,109"			
"165,178,109"			
"167,180,111"			
"126,142,80"			
"125,141,79"			
"124,140,78"			
"168,167,87"			
"166,165,85"			
"167,168,88"			
"157,166,85"			
"153,162,81"			
"152,161,80"			
"137,151,74"			
"135,149,72"			
"133,147,70"			
"188,206,122"			
"176,194,110"			
"173,191,107"			
"163,180,65"			
"168,186,68"			
"159,177,59"			
"132,149,78"			
"131,148,77"			
"130,148,74"			
"240,241,175"			
"233,234,168"			
"234,237,170"			
"147,142,78"			
"130,124,62"			
"129,123,61"			
"167,174,97"			
"173,180,103"			
"173,179,107"			
"185,144,90"			
"176,137,82"			
"179,140,85"			
"111,122,46"			
"108,119,43"			
"107,118,42"			
"111,122,46"			
"108,119,43"			
"107,118,42"			
"141,144,65"			
"132,135,58"			
"122,125,48"			
"118,150,74"			
"118,150,74"			
"115,147,71"			
"139,175,77"			
"136,172,74"			
"136,172,72"			
"125,173,97"			
"125,173,97"			
"125,173,97"			
"141,176,84"			
"138,173,81"			
"141,177,87"			
"182,221,142"			
"183,222,143"			
"181,222,143"			
"125,164,83"			
"121,160,79"			
"119,158,77"			
"181,211,121"			
"182,212,122"			
"182,215,124"			
"129,163,77"			
"131,165,79"			
"131,165,78"			
"180,217,121"			
"175,212,116"			
"174,211,115"			
"163,195,96"			
"160,195,95"			
"159,194,94"			
"160,185,91"			
"160,185,93"			
"159,184,92"			
"166,194,109"			
"164,189,105"			
"166,191,107"			
"132,175,83"			
"130,173,81"			
"130,173,81"			
"156,187,120"			
"155,186,119"			
"152,183,116"			
"179,150,94"			
"172,143,87"			
"168,139,83"			
"132,154,81"			
"131,153,80"			
"131,153,80"			
"168,197,104"			
"167,198,104"			
"166,197,103"			
"169,206,129"			
"168,205,128"			
"170,207,130"			
"136,180,83"			
"136,180,83"			
"137,181,84"			
"179,215,141"			
"181,217,143"			
"180,216,142"			
"136,179,87"			
"138,181,89"			
"140,183,91"			
"147,177,65"			
"148,178,66"			
"147,177,65"			
"145,177,92"			
"145,177,92"			
"143,175,90"			
"181,217,143"			
"178,214,140"			
"176,212,138"			
"144,177,90"			
"148,181,94"			
"148,181,94"			
"156,168,106"			
"157,167,106"			
"158,170,108"			
"165,187,122"			
"165,187,122"			
"164,186,121"			
"186,207,150"			
"185,206,149"			
"181,205,147"			
"160,179,113"			
"161,180,114"			
"162,181,115"			
"154,157,102"			
"155,158,103"			
"149,152,97"			
"175,181,133"			
"173,179,131"			
"169,177,128"			
"167,178,109"			
"167,178,109"			
"165,176,107"			
"212,196,145"			
"215,199,148"			
"204,191,139"			
"173,192,136"			
"175,194,138"			
"174,193,137"			
"173,195,123"			
"176,198,126"			
"175,197,125"			
"165,173,132"			
"161,169,130"			
"159,165,127"			
"156,175,109"			
"154,173,107"			
"154,173,107"			
"180,192,126"			
"177,189,123"			
"176,188,122"			
"159,170,110"			
"155,166,106"			
"154,165,105"			
"152,164,118"			
"152,164,118"			
"151,163,117"			
"142,149,95"			
"141,148,94"			
"137,145,88"			
"173,184,118"			
"175,186,120"			
"175,186,118"			
"148,164,99"			
"143,159,94"			
"139,155,90"			
"187,185,136"			
"141,139,90"			
"161,159,110"			
"193,213,154"			
"192,212,153"			
"190,210,151"			
"175,193,135"			
"174,192,134"			
"172,190,132"			
"184,196,134"			
"183,195,133"			
"182,194,132"			
"188,198,148"			
"183,193,143"			
"192,200,151"			
"171,194,140"			
"170,193,139"			
"172,195,141"			
"170,180,130"			
"172,182,132"			
"174,182,133"			
"148,163,98"			
"153,168,103"			
"154,166,100"			
"166,178,132"			
"166,178,132"			
"165,177,131"			
"176,186,136"			
"195,205,155"			
"230,240,190"			
"159,175,104"			
"157,173,102"			
"160,176,105"			
"199,209,140"			
"200,210,141"			
"201,210,143"			
"161,149,109"			
"165,153,113"			
"165,153,115"			
"192,179,137"			
"192,179,137"			
"199,186,144"			
"177,184,130"			
"180,187,133"			
"180,187,133"			
"179,207,122"			
"185,213,128"			
"190,218,133"			
"85,112,19"			
"85,112,19"			
"89,116,23"			
"83,106,18"			
"84,107,19"			
"83,103,16"			
"99,130,60"			
"109,140,70"			
"100,131,61"			
"129,157,80"			
"126,154,79"			
"125,153,78"			
"57,86,2"			
"57,86,2"			
"55,84,0"			
"134,160,86"			
"133,159,85"			
"142,168,94"			
"164,202,117"			
"164,202,117"			
"160,198,111"			
"144,177,86"			
"146,179,88"			
"149,182,91"			
"95,133,56"			
"96,134,57"			
"95,133,56"			
"164,188,104"			
"165,189,105"			
"164,188,104"			
"114,136,51"			
"115,135,50"			
"112,132,45"			
"105,127,44"			
"105,127,42"			
"104,126,41"			
"124,155,88"			
"120,151,84"			
"119,150,83"			
"147,166,61"			
"149,168,63"			
"158,177,70"			
"107,130,52"			
"110,133,55"			
"105,129,51"			
"163,183,111"			
"171,191,119"			
"177,195,121"			
"159,158,91"			
"159,158,91"			
"161,161,91"			
"138,143,61"			
"133,138,56"			
"134,142,59"			
"171,155,103"			
"170,155,100"			
"173,158,103"			
"113,122,29"			
"112,121,28"			
"110,119,26"			
"177,184,80"			
"180,189,84"			
"178,187,82"			
"139,150,54"			
"145,156,60"			
"144,155,59"			
"157,141,89"			
"163,147,95"			
"161,148,95"			
"167,188,109"			
"176,195,116"			
"167,186,107"			
"141,164,86"			
"138,161,83"			
"137,162,81"			
"127,151,75"			
"126,148,73"			
"124,146,71"			
"166,175,70"			
"165,174,69"			
"167,174,71"			
"154,178,100"			
"152,179,100"			
"154,181,102"			
"145,160,77"			
"139,154,71"			
"136,151,68"			
"119,129,42"			
"119,129,42"			
"118,128,41"			
"129,122,52"			
"128,121,51"			
"127,120,52"			
"125,141,70"			
"124,140,69"			
"125,138,66"			
"162,168,96"			
"163,169,97"			
"167,173,101"			
"170,184,105"			
"170,184,105"			
"168,183,102"			
"222,200,159"			
"243,221,180"			
"246,224,183"			
"185,144,90"			
"184,143,89"			
"187,146,92"			
"162,175,105"			
"163,176,106"			
"161,174,104"			
"163,178,97"			
"159,174,93"			
"157,172,91"			
"163,158,67"			
"166,161,70"			
"180,174,86"			
"126,144,62"			
"124,142,60"			
"121,139,57"			
"160,175,72"			
"163,176,71"			
"165,178,73"			
"163,175,113"			
"171,181,120"			
"204,212,153"			
"163,175,113"			
"171,181,120"			
"204,212,153"			
"163,175,113"			
"171,181,120"			
"204,212,153"			
"207,173,135"			
"201,169,130"			
"189,157,118"			
"124,112,64"			
"107,94,49"			
"161,148,103"			
"146,151,84"			
"143,148,81"			
"143,149,79"			
"157,158,92"			
"155,156,90"			
"154,155,89"			
"224,210,163"			
"210,196,149"			
"207,193,144"			
"95,59,23"			
"174,138,102"			
"195,161,126"			
"207,184,142"			
"194,171,129"			
"168,145,103"			
"164,177,108"			
"164,177,108"			
"166,179,110"			
"116,132,70"			
"117,133,71"			
"117,133,71"			
"172,170,93"			
"173,171,94"			
"174,173,93"			
"157,166,85"			
"159,168,87"			
"155,164,83"			
"133,147,70"			
"131,145,68"			
"131,145,68"			
"215,233,149"			
"204,222,138"			
"190,208,124"			
"161,178,63"			
"162,179,64"			
"163,181,63"			
"132,149,78"			
"132,149,78"			
"132,150,76"			
"240,243,176"			
"226,229,162"			
"211,214,147"			
"140,135,69"			
"151,146,82"			
"186,180,118"			
"183,190,113"			
"184,190,116"			
"192,198,126"			
"181,140,86"			
"177,138,83"			
"192,153,98"			
"111,122,46"			
"105,116,40"			
"105,116,40"			
"111,122,46"			
"105,116,40"			
"105,116,40"			
"131,134,55"			
"119,122,45"			
"95,98,21"			
"117,149,73"			
"118,150,74"			
"115,147,71"			
"137,173,75"			
"134,170,72"			
"137,173,73"			
"125,173,97"			
"123,171,95"			
"122,170,94"			
"144,179,87"			
"139,174,82"			
"141,178,85"			
"184,223,144"			
"184,223,144"			
"184,225,146"			
"126,168,86"			
"122,164,82"			
"117,159,77"			
"181,211,121"			
"183,213,123"			
"183,216,125"			
"130,164,78"			
"130,164,78"			
"131,165,78"			
"180,217,121"			
"174,211,115"			
"173,210,114"			
"163,195,98"			
"160,195,95"			
"161,196,96"			
"171,196,102"			
"175,200,108"			
"173,198,106"			
"168,196,111"			
"173,198,114"			
"169,194,110"			
"128,171,79"			
"128,171,79"			
"129,172,80"			
"155,186,119"			
"155,186,119"			
"154,185,118"			
"170,141,85"			
"160,131,75"			
"163,134,78"			
"143,163,91"			
"140,160,88"			
"139,159,87"			
"167,196,103"			
"167,196,103"			
"168,199,105"			
"168,205,128"			
"167,204,127"			
"167,204,127"			
"132,176,79"			
"134,178,81"			
"136,180,83"			
"180,216,142"			
"182,218,144"			
"182,218,144"			
"139,182,90"			
"141,184,92"			
"145,188,96"			
"148,178,66"			
"147,177,65"			
"145,175,63"			
"146,178,93"			
"143,175,90"			
"141,173,88"			
"180,216,142"			
"180,216,142"			
"178,214,140"			
"149,182,95"			
"150,183,96"			
"148,181,94"			
